# 후속 ② 원소 폭발 측정 — 커밋 e800919 · 시드 20260922 · N=150/셀
입력: 마법사 Lv1→목표까지 Lv_up, 선택 포인트 SP, 2택 1은 신규 쪽, 아이템 HP_M×2+MP_M.
상대는 등급 팩토리(상)·보스 팩토리 직접 생성(자동 튜닝 없음 — 같은 조건 A/B가 목적).
팔 A 보유+reactive · B 미보유+reactive · C 보유+강제 시전 · b 보유+balanced(대조군).
반응은 융해·과부하·파쇄 발생 횟수의 전투당 평균(표시용 도장 _stamp_last_hit 집계).
TUNE 없음 — 저장소의 현재 수치 그대로.

 Lv 상대         | A승률   B승률   C승률   b승률  |   A사용   C사용   b사용   A폭풍   B폭풍 |   A반응   B반응   C반응 |  A HP잔  B HP잔  A MP잔  B MP잔 |    A턴    B턴
 12 원소3종       |  39.3%  39.3%  49.3%  39.3% |  0.73  4.43  0.73  2.49  2.49 |  8.24  8.34  6.48 |  15.8%  15.8%  88.7%  90.5% |   5.0   5.2
 12 빙결x3       | 100.0% 100.0% 100.0% 100.0% |  0.00  5.45  0.00  2.98  2.98 |  8.98  8.98  5.33 |  46.7%  46.7%  99.5%  99.5% |   3.3   3.3
 12 고블린상       | 100.0% 100.0% 100.0% 100.0% |  1.16  1.16  0.00  0.00  0.00 |  1.12  1.74  1.12 |  72.4%  61.9%  84.2%  86.6% |   3.1   3.9
 12 최종 보스      |   0.0%   0.0%   0.7%   0.0% |  1.48  3.53  0.00  0.45  0.29 |  4.05  4.46  3.79 |   0.0%   0.0%  68.8%  73.2% |   7.0   7.5

 15 원소3종       |  19.3%  19.3%  32.7%  19.3% |  0.37  4.45  0.37  2.33  2.33 |  7.37  7.42  6.27 |   7.5%   7.6%  93.3%  93.9% |   4.2   4.2
 15 빙결x3       | 100.0% 100.0%  99.3% 100.0% |  0.00  5.94  0.00  3.05  3.05 |  9.77  9.77  5.78 |  45.8%  45.8%  99.8%  99.8% |   4.5   4.5
 15 고블린상       |  98.7%  98.7%  98.7%  96.7% |  1.65  1.65  0.00  0.00  0.00 |  1.57  1.86  1.57 |  47.3%  43.9%  80.9%  82.2% |   4.6   5.4
 15 최종 보스      |   2.0%   0.7%  10.0%   1.3% |  1.67  3.59  0.00  0.75  0.74 |  4.95  5.07  3.84 |   0.7%   0.3%  55.1%  59.6% |   8.8   8.9

 20 원소3종       |  11.3%  11.3%   9.3%  11.3% |  0.24  3.72  0.24  2.32  2.32 |  6.68  6.76  5.26 |   4.4%   4.4%  95.0%  95.0% |   4.1   4.4
 20 빙결x3       |  74.0%  74.0%  97.3%  74.0% |  0.00  5.97  0.00  3.51  3.51 | 10.81 10.81  5.82 |  32.2%  32.2%  99.0%  99.0% |   5.9   5.9
 20 고블린상       |  86.7%  64.7%  99.3%  52.7% |  1.01  2.06  0.00  0.00  0.00 |  1.99  2.19  1.98 |  43.2%  30.5%  86.6%  82.9% |   5.4   6.7
 20 최종 보스      |  60.7%  42.7%  78.7%  52.7% |  2.43  4.03  0.00  1.01  0.97 |  4.36  4.60  4.07 |  28.8%  18.6%  61.2%  51.7% |   9.3  11.2

 22 원소3종       |   5.3%   5.3%  11.3%   5.3% |  0.10  3.79  0.10  2.35  2.35 |  6.27  6.31  5.19 |   2.0%   2.3%  96.2%  95.5% |   3.8   4.0
 22 빙결x3       |  53.3%  53.3%  93.3%  53.3% |  0.00  5.93  0.00  3.32  3.32 | 10.09 10.09  5.79 |  22.4%  22.4%  98.9%  98.9% |   5.6   5.6
 22 고블린상       |  41.3%  21.3%  57.3%  24.7% |  0.77  1.84  0.00  0.00  0.00 |  1.70  0.93  1.70 |  16.8%   7.9%  80.8%  75.4% |   6.9   7.2
 22 최종 보스      |  82.0%  74.0%  94.0%  75.3% |  2.32  3.70  0.00  1.01  1.00 |  4.14  2.63  3.92 |  43.6%  32.9%  75.1%  58.6% |   7.7   9.8

 25 원소3종       |   0.7%   0.7%   1.3%   0.7% |  0.02  3.47  0.02  2.21  2.21 |  5.65  5.66  4.88 |   0.3%   0.3%  98.0%  98.0% |   3.2   3.2
 25 빙결x3       |  37.3%  37.3%  58.0%  37.3% |  0.00  5.75  0.00  3.43  3.43 | 10.43 10.43  5.53 |  16.0%  16.0%  99.2%  99.2% |   5.5   5.5
 25 고블린상       |  20.7%   6.0%  35.3%  12.0% |  0.48  1.73  0.00  0.00  0.00 |  1.49  0.97  1.62 |   8.9%   2.5%  86.2%  83.2% |   6.2   6.2
 25 최종 보스      |  98.0%  92.0%  99.3%  96.7% |  2.21  3.32  0.00  1.02  1.01 |  3.97  1.94  3.71 |  62.2%  49.5%  88.0%  71.1% |   5.9   7.7

전체 평균 승률: A  51.5% · B  47.0% · C  61.3% · b  47.6%
