# 브리프 3장 엘리트 로직 3건 측정 — 커밋 0f0cb80 · 시드 20260922 · N=100/셀 · AI=balanced
상대는 실전 엘리트 노드와 같은 경로 — hook.get_enemy(difficulty='hard')로 자동 튜닝된 스탯을
(직업,레벨,몬스터)당 한 번 뽑아 모든 팔이 같은 적을 상대한다. 동료가 있는 셀은
실전과 같이 ELITE_STAT_SCALE[2]=0.90을 적용한다.

── assassin — 팔 A / B ──
직업     Lv 셀            | A승률  B승률 |    퇴각    A뺏김 | A턴   B턴  
전사     10 암살자 단독       | 100.0%  100.0% |  0.88  92.0% |   6.3   4.9
전사     10 암살자+유령       |   0.0%    0.0% |  0.46   0.0% |   6.1   7.4
전사     13 암살자 단독       | 100.0%  100.0% |  0.55  58.0% |   4.5   3.3
전사     13 암살자+유령       |   2.0%    2.0% |  0.05   0.0% |   4.0   4.2
전사     16 암살자 단독       | 100.0%  100.0% |  0.36  38.0% |   3.8   3.1
전사     16 암살자+유령       |   3.0%    6.0% |  0.23   2.0% |   5.2   6.6
전사     20 암살자 단독       | 100.0%  100.0% |  0.59  59.0% |   4.4   3.3
전사     20 암살자+유령       |  11.0%   14.0% |  0.23   5.0% |   7.6   8.3

마법사    10 암살자 단독       | 100.0%  100.0% |  0.62  63.0% |   2.0   1.4
마법사    10 암살자+유령       |  99.0%   99.0% |  0.81  89.0% |   5.8   4.3
마법사    13 암살자 단독       | 100.0%  100.0% |  0.71  72.0% |   2.1   1.3
마법사    13 암살자+유령       |  99.0%  100.0% |  0.84  91.0% |   5.8   4.6
마법사    16 암살자 단독       | 100.0%  100.0% |  0.69  69.0% |   2.1   1.3
마법사    16 암살자+유령       | 100.0%  100.0% |  0.80  86.0% |   5.7   4.3
마법사    20 암살자 단독       | 100.0%  100.0% |  0.52  54.0% |   2.0   1.5
마법사    20 암살자+유령       | 100.0%  100.0% |  0.76  80.0% |   4.9   4.2

도적     10 암살자 단독       | 100.0%  100.0% |  0.76  93.0% |   5.3   3.9
도적     10 암살자+유령       |   9.0%   12.0% |  0.41   6.0% |   5.6   6.3
도적     13 암살자 단독       |  98.0%  100.0% |  0.42  82.0% |   4.3   3.7
도적     13 암살자+유령       |  17.0%   14.0% |  0.37  12.0% |   5.0   5.8
도적     16 암살자 단독       | 100.0%  100.0% |  0.36  87.0% |   3.8   3.4
도적     16 암살자+유령       |  21.0%   31.0% |  0.22  13.0% |   4.6   5.4
도적     20 암살자 단독       | 100.0%  100.0% |  0.51  88.0% |   3.2   2.7
도적     20 암살자+유령       |  54.0%   61.0% |  0.15  36.0% |   6.0   6.5

평균 승률: A  71.4% · B  72.5%

