# 브리프 3장 엘리트 로직 3건 측정 — 커밋 0f0cb80 · 시드 20260922 · N=100/셀 · AI=balanced
상대는 실전 엘리트 노드와 같은 경로 — hook.get_enemy(difficulty='hard')로 자동 튜닝된 스탯을
(직업,레벨,몬스터)당 한 번 뽑아 모든 팔이 같은 적을 상대한다. 동료가 있는 셀은
실전과 같이 ELITE_STAT_SCALE[2]=0.90을 적용한다.

── goblin — 팔 A / B / C / D / E ──
직업     Lv 셀            | A승률  B승률  C승률  D승률  E승률 |    격노 B호령 C호령 D호령 E호령 | A턴   B턴   C턴   D턴   E턴  
전사      3 대장 단독        |  98.0%   98.0%   98.0%   98.0%   98.0% | 100.0%  0.00  0.00  0.00  0.00 |   9.7   9.7   9.7   9.7   9.7
전사      3 대장+고블린       |   1.0%    0.0%    0.0%    1.0%    0.0% |  97.0%  0.57  1.18  0.64  1.09 |   6.0   5.7   5.5   6.7   5.5
전사      3 대장+박쥐        |  96.0%   94.0%   92.0%   99.0%   94.0% | 100.0%  1.41  2.35  1.17  1.92 |  15.5  15.4  15.4  15.2  15.5
전사      5 대장 단독        |  29.0%   29.0%   29.0%   29.0%   29.0% |  97.0%  0.00  0.00  0.00  0.00 |  11.7  11.7  11.7  11.7  11.7
전사      5 대장+고블린       |   0.0%    0.0%    0.0%    0.0%    0.0% |  63.0%  0.22  1.49  0.22  0.74 |   6.5   6.4   6.1   6.5   6.2
전사      5 대장+박쥐        |   0.0%    0.0%    0.0%   10.0%    0.0% |  81.0%  0.80  2.12  1.03  1.42 |   8.2   8.1   8.0  10.9   8.0
전사      7 대장 단독        |  12.0%   12.0%   12.0%   12.0%   12.0% |  98.0%  0.00  0.00  0.00  0.00 |  11.6  11.6  11.6  11.6  11.6
전사      7 대장+고블린       |   0.0%    0.0%    0.0%    0.0%    0.0% |  12.0%  0.01  1.16  0.01  0.12 |   5.5   5.5   5.3   5.5   5.5
전사      7 대장+박쥐        |   0.0%    0.0%    0.0%    0.0%    0.0% |  63.0%  0.14  2.07  0.14  0.70 |   8.0   8.0   7.8   8.0   7.9
전사      9 대장 단독        |  53.0%   53.0%   53.0%   53.0%   53.0% | 100.0%  0.00  0.00  0.00  0.00 |  12.1  12.1  12.1  12.1  12.1
전사      9 대장+고블린       |   0.0%    0.0%    0.0%    0.0%    0.0% |  17.0%  0.02  1.13  0.02  0.17 |   4.7   4.7   4.4   4.7   4.7
전사      9 대장+박쥐        |   0.0%    0.0%    0.0%    0.0%    0.0% |  69.0%  0.36  2.02  0.38  0.92 |   7.3   7.3   7.0   7.5   7.2

마법사     3 대장 단독        | 100.0%  100.0%  100.0%  100.0%  100.0% | 100.0%  0.00  0.00  0.00  0.00 |   3.5   3.5   3.5   3.5   3.5
