# 브리프 3장 엘리트 로직 3건 측정 — 커밋 0f0cb80 · 시드 20260922 · N=100/셀 · AI=balanced
상대는 실전 엘리트 노드와 같은 경로 — hook.get_enemy(difficulty='hard')로 자동 튜닝된 스탯을
(직업,레벨,몬스터)당 한 번 뽑아 모든 팔이 같은 적을 상대한다. 동료가 있는 셀은
실전과 같이 ELITE_STAT_SCALE[2]=0.90을 적용한다.

── slime — 팔 A / B / C ──
직업     Lv 셀            | A승률  B승률  C승률 |    분열    경직 | A턴   B턴   C턴  
전사      3 증식 슬라임       | 100.0%  100.0%  100.0% |  1.00  1.66 |  13.7  13.8  13.7
전사      5 증식 슬라임       | 100.0%  100.0%  100.0% |  1.00  2.00 |  16.8  16.9  17.1
전사      7 증식 슬라임       | 100.0%   98.0%   97.0% |  1.00  2.00 |  20.3  20.8  20.9
전사      9 증식 슬라임       |  99.0%   76.0%   39.0% |  1.00  2.00 |  23.1  22.1  20.0

마법사     3 증식 슬라임       | 100.0%  100.0%  100.0% |  1.00  1.09 |  13.4  13.5  13.2
마법사     5 증식 슬라임       | 100.0%  100.0%  100.0% |  0.83  0.63 |   6.0   6.1   5.9
마법사     7 증식 슬라임       | 100.0%  100.0%  100.0% |  0.65  0.76 |   5.3   5.1   5.0
마법사     9 증식 슬라임       | 100.0%  100.0%  100.0% |  0.95  1.00 |   5.2   4.9   4.9

도적      3 증식 슬라임       | 100.0%  100.0%  100.0% |  1.00  1.67 |  17.9  18.2  18.2
도적      5 증식 슬라임       | 100.0%   99.0%   97.0% |  1.00  1.80 |  16.7  16.7  16.8
도적      7 증식 슬라임       |  86.0%   70.0%   59.0% |  1.00  1.82 |  23.1  22.4  21.1
도적      9 증식 슬라임       |  73.0%   63.0%   41.0% |  0.97  1.84 |  20.7  20.2  18.2

평균 승률: A  96.5% · B  92.2% · C  86.1%

