# 엘리트 배율 측정 — 커밋 49a0fb7 · 시드 20260926 · N=120/셀 · balanced
`_make_elite_encounter()`를 그대로 쓰고 hook의 get_enemy만 갈아 끼운다 — 패턴·플래그는 불변.
튜너 = 현재(하드 튜닝 몬스터). 등급 = 12차 처방(등급 팩토리 「상」).
배율은 단독에도 적용한다 — 엘리트의 배율은 마릿수 보정이 아니라 **패턴 보정**이다.
단독/2마리를 나눠 적는다(괄호 안이 표본 수).
밴드 45~88%, * = 밴드 안.  [HYBRID: 단독은 튜너 유지]

 Lv 직업    구성    |     튜너(현재) |    등급 x1.0    등급 x1.1    등급 x1.2    등급 x1.3    등급 x1.5 |    표본
  5 전사    단독    |      48.5%*|      48.5%*      48.5%*      48.5%*      48.5%*      48.5%* |    68
  5 전사    2마리   |      11.5% |     100.0%      100.0%       98.1%       94.2%       84.6%* |    52
  5 마법사   단독    |      48.5%*|      48.5%*      48.5%*      48.5%*      48.5%*      48.5%* |    68
  5 마법사   2마리   |       3.8% |     100.0%      100.0%       98.1%       92.3%       80.8%* |    52
  5 도적    단독    |      54.4%*|      54.4%*      54.4%*      54.4%*      54.4%*      54.4%* |    68
  5 도적    2마리   |       3.8% |     100.0%      100.0%      100.0%      100.0%       73.1%* |    52

 10 전사    단독    |      54.2%*|      54.2%*      54.2%*      54.2%*      54.2%*      54.2%* |    48
 10 전사    2마리   |       0.0% |     100.0%      100.0%       98.6%       93.1%       69.4%* |    72
 10 마법사   단독    |      64.6%*|      64.6%*      64.6%*      64.6%*      64.6%*      64.6%* |    48
 10 마법사   2마리   |       1.4% |      94.4%       87.5%*      81.9%*      73.6%*      51.4%* |    72
 10 도적    단독    |      60.4%*|      60.4%*      60.4%*      60.4%*      60.4%*      60.4%* |    48
 10 도적    2마리   |       1.4% |      98.6%       97.2%       87.5%*      75.0%*      47.2%* |    72

 15 전사    단독    |      51.9%*|      51.9%*      51.9%*      51.9%*      51.9%*      51.9%* |    52
 15 전사    2마리   |       0.0% |      98.5%       97.1%       91.2%       82.4%*      55.9%* |    68
 15 마법사   단독    |      50.0%*|      50.0%*      50.0%*      50.0%*      50.0%*      50.0%* |    52
 15 마법사   2마리   |       1.5% |      92.6%       86.8%*      69.1%*      52.9%*      41.2%  |    68
 15 도적    단독    |      59.6%*|      59.6%*      59.6%*      59.6%*      59.6%*      59.6%* |    52
 15 도적    2마리   |       1.5% |      97.1%       89.7%       79.4%*      67.6%*      45.6%* |    68

 20 전사    단독    |      60.8%*|      60.8%*      60.8%*      60.8%*      60.8%*      60.8%* |    51
 20 전사    2마리   |       0.0% |      98.6%       88.4%       79.7%*      71.0%*      46.4%* |    69
 20 마법사   단독    |      62.7%*|      62.7%*      62.7%*      62.7%*      62.7%*      62.7%* |    51
 20 마법사   2마리   |       0.0% |      73.9%*      71.0%*      49.3%*      37.7%       14.5%  |    69
 20 도적    단독    |      68.6%*|      68.6%*      68.6%*      68.6%*      68.6%*      68.6%* |    51
 20 도적    2마리   |       2.9% |      98.6%       97.1%       91.3%       82.6%*      47.8%* |    69

 25 전사    단독    |      58.0%*|      58.0%*      58.0%*      58.0%*      58.0%*      58.0%* |    50
 25 전사    2마리   |       0.0% |      94.3%       77.1%*      68.6%*      52.9%*      12.9%  |    70
 25 마법사   단독    |      72.0%*|      72.0%*      72.0%*      72.0%*      72.0%*      72.0%* |    50
 25 마법사   2마리   |       0.0% |      58.6%*      50.0%*      35.7%       25.7%        2.9%  |    70
 25 도적    단독    |      68.0%*|      68.0%*      68.0%*      68.0%*      68.0%*      68.0%* |    50
 25 도적    2마리   |       1.4% |      91.4%       85.7%*      80.0%*      75.7%*      54.3%* |    70

밴드 안 칸 수: 튜너 15/30 · 등급 x1.0 17/30 · 등급 x1.1 21/30 · 등급 x1.2 23/30 · 등급 x1.3 24/30 · 등급 x1.5 26/30
