# 도적 밴드 복귀 레버 비교 — 커밋 c40ee91 · 시드 20260923 · N=150/셀 · AI=balanced(기본)
팔 A 현재 · B 연속찌르기 dmg_decay 0.58 · C prob_decay 32 · D max_hits 3 · E LUC 상한(Lv12~) · F SPD 상한(Lv16~)
B/C/D는 단일 대상 스킬 하나만, E/F는 성장 곡선 전체를 건드린다 — 다대일 칸에서 갈린다.
밴드: 일반 45~88% · 보스 45~90%. 시전 = 연속찌르기 시전/전투, 비중 = 그 스킬이 낸 피해 비율.

[도적]
 Lv 셀            | A승률  B승률  C승률  D승률  E승률  F승률 | A시전 B시전 C시전 D시전 E시전 F시전 | A턴   B턴   C턴   D턴   E턴   F턴  
  5 고블린x2(실전)    | 100.0%  100.0%  100.0%  100.0%  100.0%  100.0% |  0.00  0.00  0.00  0.00  0.00  0.00 |   6.1   6.1   6.1   6.1   6.1   6.1
  5 고블린x3(실전)    | 100.0%  100.0%  100.0%  100.0%  100.0%  100.0% |  0.00  0.00  0.00  0.00  0.00  0.00 |   7.7   7.7   7.7   7.7   7.7   7.7

  8 중간 보스        |  88.7%   88.7%   88.7%   88.7%   88.7%   88.7% |  0.00  0.00  0.00  0.00  0.00  0.00 |  10.9  10.9  10.9  10.9  10.9  10.9

 10 중간 보스        |  96.0%   94.7%   90.7%   95.3%   96.0%   96.0% |  7.73  7.75  7.78  7.72  7.73  7.73 |  11.6  11.7  12.1  11.5  11.6  11.6
 10 골렘상          | 100.0%  100.0%  100.0%  100.0%  100.0%  100.0% |  5.32  5.41  5.56  5.34  5.32  5.32 |   7.5   7.7   8.1   7.5   7.5   7.5
 10 유령상          | 100.0%  100.0%  100.0%  100.0%  100.0%  100.0% |  3.98  4.07  4.18  3.96  3.98  3.98 |   5.4   5.5   5.7   5.3   5.4   5.4
 10 고블린x2(실전)    |  94.0%   94.0%   92.0%   93.3%   94.0%   94.0% |  5.75  5.79  5.79  5.71  5.75  5.75 |  10.0  10.2  10.6   9.9  10.0  10.0
 10 고블린x3(실전)    |  82.7%   82.7%   82.7%   82.7%   82.7%   82.7% |  0.29  0.29  0.29  0.29  0.29  0.29 |   7.7   7.8   7.8   7.7   7.7   7.7

 15 골렘상          | 100.0%  100.0%  100.0%  100.0%  100.0%  100.0% |  5.35  5.55  5.73  5.47  5.62  5.35 |   6.5   6.8   7.2   6.7   7.0   6.5
 15 유령상          | 100.0%  100.0%  100.0%  100.0%  100.0%  100.0% |  3.66  3.83  4.03  3.71  3.84  3.66 |   4.7   4.8   5.1   4.7   4.8   4.7
 15 고블린x2(실전)    |  90.7%   86.7%   88.7%   90.7%   87.3%   90.7% |  5.79  5.81  5.81  5.81  5.85  5.79 |   9.0   9.4   9.7   9.1   9.6   9.0
 15 고블린x3(실전)    |  74.7%   74.0%   74.7%   74.7%   70.7%   74.7% |  1.10  1.12  1.11  1.10  1.03  1.10 |   8.5   8.6   8.6   8.5   8.6   8.5

 20 최종 보스        |  92.7%   92.0%   90.7%   93.3%   80.7%   90.0% |  5.62  5.82  5.88  5.72  5.91  5.73 |  13.3  14.2  14.5  13.7  15.1  12.7
 20 골렘상          | 100.0%  100.0%  100.0%  100.0%  100.0%  100.0% |  5.66  6.30  6.25  5.89  6.62  5.68 |   6.7   7.3   7.3   6.9   7.6   6.7
 20 유령상          | 100.0%  100.0%  100.0%  100.0%  100.0%  100.0% |  3.17  3.47  3.59  3.43  3.89  3.16 |   4.2   4.5   4.6   4.4   4.9   4.2
 20 고블린x2(실전)    |  95.3%   94.7%   94.0%   97.3%   89.3%   92.7% |  6.61  7.02  7.01  6.83  7.16  6.61 |   9.0   9.7   9.8   9.4  10.5   9.0
 20 고블린x3(실전)    |  58.0%   58.0%   58.0%   57.3%   50.0%   58.7% |  1.07  1.14  1.13  1.09  1.02  1.11 |   7.9   8.0   8.0   7.9   7.8   8.1

 25 최종 보스        | 100.0%  100.0%  100.0%   99.3%  100.0%   99.3% |  5.47  6.06  5.51  5.73  5.80  5.45 |   7.6   8.5   7.7   8.0   8.1   7.5
 25 골렘상          | 100.0%  100.0%  100.0%  100.0%  100.0%  100.0% |  6.31  6.97  6.46  6.64  6.83  6.12 |   7.4   8.2   7.6   7.8   8.1   7.2
 25 유령상          | 100.0%  100.0%  100.0%  100.0%  100.0%  100.0% |  3.26  3.54  3.39  3.62  3.64  3.15 |   4.3   4.5   4.4   4.6   4.6   4.1
 25 고블린x2(실전)    |  94.7%   92.7%   95.3%   94.0%   88.0%   89.3% |  7.76  8.41  7.90  8.19  7.97  7.33 |   9.8  10.9   9.9  10.4  10.1   9.4
 25 고블린x3(실전)    |  96.7%   96.7%   96.7%   96.7%   94.0%   88.7% |  1.55  1.69  1.55  1.64  1.56  1.13 |   6.7   6.8   6.6   6.7   6.7   6.1

밴드 안 칸 수: A 4/22 · B 5/22 · C 4/22 · D 4/22 · E 7/22 · F 5/22

