# 「추진력」 지속 측정 — 커밋 60a785e · 시드 20260922 · N=150/셀 · AI=balanced(기본)
현재 지속 2턴 — 버프는 시전 행동에서 1턴이 줄므로 실제로 덮는 행동은 1회다.
팔: 지속 2(현재)/4/6/8턴 · off(스킬 제거 = 낭비 0의 상한).
낭비 = 추진력 시전 / 전체 플레이어 행동. 이 행동들의 피해는 0이다.

 Lv 셀            |    2승률    4승률    6승률    8승률  off승률 |    2시전    4시전    6시전    8시전  off시전 |    2낭비    4낭비    6낭비    8낭비  off낭비 |    2행동    4행동    6행동    8행동  off행동
 10 최종 보스        |   0.0%   0.0%   0.0%   0.0%   0.0% |     0.00     0.00     0.00     0.00     0.00 |     0.0%     0.0%     0.0%     0.0%     0.0% |      8.6      8.6      8.6      8.6      8.6
 10 중간 보스        |  96.7%  96.7%  96.7%  96.7%  96.7% |     0.00     0.00     0.00     0.00     0.00 |     0.0%     0.0%     0.0%     0.0%     0.0% |     11.5     11.5     11.5     11.5     11.5
 10 골렘상          | 100.0% 100.0% 100.0% 100.0% 100.0% |     3.00     2.45     1.83     1.11     0.00 |    33.6%    27.8%    22.6%    15.1%     0.0% |      9.1      8.8      8.1      7.4      5.7
 10 유령상          | 100.0% 100.0% 100.0% 100.0% 100.0% |     2.89     1.63     1.25     1.04     0.00 |    41.4%    27.2%    23.7%    21.4%     0.0% |      7.3      6.0      5.4      5.2      4.0
 10 고블린상x3       |   0.0%   0.0%   0.0%   0.0%   0.0% |     2.21     1.21     1.00     1.00     0.00 |    62.9%    33.0%    29.6%    29.6%     0.0% |      3.7      3.7      3.7      3.7      3.6

 15 최종 보스        |  14.7%  15.3%  15.3%  15.3%  16.0% |     0.29     0.16     0.15     0.15     0.00 |     2.9%     1.6%     1.5%     1.5%     0.0% |     12.0     12.0     12.0     12.0     12.0
 15 중간 보스        | 100.0% 100.0% 100.0% 100.0% 100.0% |     3.00     1.96     1.00     1.00     0.00 |    32.7%    24.7%    14.5%    14.4%     0.0% |      9.5      8.2      7.2      7.2      5.9
 15 골렘상          | 100.0% 100.0% 100.0% 100.0% 100.0% |     3.00     2.00     1.00     1.00     0.00 |    34.2%    26.4%    15.2%    15.1%     0.0% |      9.0      7.7      6.7      6.8      5.6
 15 유령상          | 100.0% 100.0% 100.0% 100.0% 100.0% |     2.93     1.59     1.00     1.00     0.00 |    45.5%    29.9%    22.0%    22.0%     0.0% |      6.6      5.3      4.8      4.8      3.7
 15 고블린상x3       |   0.0%   0.0%   0.0%   0.0%   0.0% |     2.05     1.01     1.02     1.00     0.00 |    60.2%    29.5%    29.4%    29.2%     0.0% |      3.5      3.5      3.6      3.6      3.4

 20 최종 보스        |  76.7%  89.3%  87.3%  94.7%  94.0% |     5.46     3.18     2.29     1.65     0.00 |    29.3%    21.1%    16.5%    12.5%     0.0% |     19.1     15.3     14.0     13.3     10.3
 20 중간 보스        | 100.0% 100.0% 100.0% 100.0% 100.0% |     3.75     1.68     1.02     1.00     0.00 |    50.0%    30.1%    21.3%    21.1%     0.0% |      7.5      5.5      4.9      4.9      3.8
 20 골렘상          | 100.0% 100.0% 100.0% 100.0% 100.0% |     4.87     2.11     1.49     1.00     0.00 |    44.6%    27.8%    20.7%    15.5%     0.0% |     11.1      7.6      7.1      6.6      5.6
 20 유령상          | 100.0% 100.0% 100.0% 100.0% 100.0% |     3.07     1.31     1.01     1.00     0.00 |    50.1%    28.8%    24.9%    24.8%     0.0% |      6.1      4.5      4.2      4.2      3.0
 20 고블린상x3       |   0.0%   0.0%   0.0%   0.0%   0.0% |     2.58     1.63     1.00     1.00     0.00 |    54.2%    33.9%    21.0%    21.0%     0.0% |      4.8      4.7      4.9      4.9      4.6

 25 최종 보스        |  99.3%  99.3% 100.0% 100.0% 100.0% |     5.53     2.43     1.77     1.17     0.00 |    44.3%    27.5%    21.5%    15.3%     0.0% |     12.7      8.9      8.2      7.6      6.2
 25 중간 보스        | 100.0% 100.0% 100.0% 100.0% 100.0% |     2.93     1.14     1.00     1.00     0.00 |    50.4%    27.2%    25.4%    25.4%     0.0% |      5.8      4.2      4.0      4.0      3.1
 25 골렘상          | 100.0% 100.0% 100.0% 100.0% 100.0% |     5.83     2.45     1.89     1.09     0.00 |    48.4%    27.4%    22.7%    14.5%     0.0% |     12.2      8.9      8.3      7.5      6.4
 25 유령상          | 100.0% 100.0% 100.0% 100.0% 100.0% |     3.25     1.29     1.01     1.00     0.00 |    50.1%    28.0%    24.2%    24.1%     0.0% |      6.5      4.6      4.3      4.3      3.3
 25 고블린상x3       |   0.0%   0.0%   0.0%   0.7%   1.3% |     3.74     2.00     1.80     1.00     0.00 |    53.0%    27.4%    23.7%    13.5%     0.0% |      7.0      7.5      7.5      7.6      6.8

평균 승률: 2턴  69.4% · 4턴  70.0% · 6턴  70.0% · 8턴  70.4% · off턴  70.4%
