# 후속 ① 수지 측정 — 커밋 06482c3 · 시드 20260922 · N=200/셀 · 측정용 AI reactive
입력: 해당 직업 Lv1→목표까지 Lv_up, 선택 포인트 STG, 2택 1은 신규 쪽, 아이템 HP_M×2+MP_M.
상대는 등급 팩토리(중)·보스 팩토리 직접 생성(자동 튜닝 없음 — 같은 조건 A/B가 목적).
팔 A 게이트(reactive 판단대로) · B 미보유 · C 항상(게이트 무시) · D 2택 1의 짝으로 교체 · E 첫 기회에 1회만
E지불/E회수는 팔 E에서 실제로 시전한 전투만 모은 1회당 평균(피격 장부 via=cost / via=lifesteal). E수지 = 회수/지불.
TUNE 없음 — 저장소의 현재 수치 그대로.

═══ 피의 격노 (전사 Lv11, 짝: 방패치기) ═══
 Lv 상대        | A승률   B승률   C승률   D승률   E승률  | AHP잔   BHP잔   CHP잔   DHP잔   EHP잔  |   A사용    E지불    E회수      E수지    A턴    B턴
 11 골렘상       | 100.0% 100.0% 100.0% 100.0% 100.0% |  86.4%  89.8%  85.2%  89.8%  85.2% |  1.00    142    157    1.11x   7.1   6.0
 11 암살자상      | 100.0% 100.0% 100.0% 100.0% 100.0% |  63.6%  63.6%  58.8%  63.6%  58.8% |  0.00    115     74    0.65x   3.3   3.3
 11 중간 보스     | 100.0% 100.0% 100.0% 100.0% 100.0% |  44.6%  47.7%  49.6%  47.9%  42.8% |  1.00    133    193    1.45x  13.4  12.3
 11 최종 보스     |   0.0%   0.0%   0.0%   0.0%   0.0% |   0.0%   0.0%   0.0%   0.0%   0.0% |  1.00    125     91    0.72x   9.3   9.9

 15 골렘상       | 100.0% 100.0% 100.0% 100.0% 100.0% |  94.4%  93.2%  93.7%  93.2%  93.8% |  1.00    190    231    1.22x   6.9   5.9
 15 암살자상      | 100.0% 100.0% 100.0% 100.0% 100.0% |  63.4%  63.4%  60.5%  63.4%  60.5% |  0.00    152    111    0.73x   3.1   3.1
 15 중간 보스     | 100.0% 100.0% 100.0% 100.0% 100.0% |  94.8%  80.1%  88.4%  86.7%  90.7% |  1.00    182    284    1.56x   7.7   6.6
 15 최종 보스     |   0.0%   0.0%   0.0%   0.0%   0.0% |   0.0%   0.0%   0.0%   0.0%   0.0% |  1.08    174    237    1.36x  12.4  11.3

 20 골렘상       | 100.0% 100.0% 100.0% 100.0% 100.0% |  82.2%  95.9%  98.6%  95.9%  98.7% |  1.00    261    327    1.25x   9.0   6.2
 20 암살자상      | 100.0% 100.0% 100.0% 100.0% 100.0% |  65.9%  72.3%  50.7%  51.9%  50.7% |  0.34    206    167    0.81x   3.9   3.2
 20 중간 보스     | 100.0% 100.0% 100.0% 100.0% 100.0% |  95.7%  90.2%  87.4%  91.3%  87.4% |  1.00    253    288    1.14x   6.3   5.1
 20 최종 보스     |   2.0%   5.0%   0.5%   1.0%   4.0% |   0.5%   2.0%   0.2%   0.2%   2.0% |  1.31    245    388    1.58x  16.1  13.4

 22 골렘상       | 100.0% 100.0% 100.0% 100.0% 100.0% |  92.4%  93.3%  85.1%  93.3%  90.0% |  1.00    292    351    1.20x   8.6   7.2
 22 암살자상      | 100.0% 100.0% 100.0% 100.0% 100.0% |  64.3%  71.9%  51.5%  49.4%  51.5% |  0.43    231    192    0.83x   4.1   3.3
 22 중간 보스     | 100.0% 100.0% 100.0% 100.0% 100.0% |  93.6%  93.2%  86.3%  96.1%  86.3% |  0.31    284    278    0.98x   5.5   5.1
 22 최종 보스     |  19.0%  15.5%   3.0%  17.5%  18.5% |   9.5%   5.4%   0.5%   7.1%   7.5% |  1.11    276    368    1.33x  15.7  14.4

 25 골렘상       | 100.0% 100.0% 100.0% 100.0% 100.0% |  96.3%  86.3%  67.1%  86.3%  85.7% |  1.00    342    395    1.15x   9.1   8.1
 25 암살자상      | 100.0% 100.0%  99.5% 100.0% 100.0% |  57.1%  69.7%  50.8%  42.4%  51.2% |  0.70    270    232    0.86x   5.3   3.8
 25 중간 보스     | 100.0% 100.0% 100.0% 100.0% 100.0% |  96.3%  96.3%  94.3%  98.1%  94.3% |  0.00    335    265    0.79x   3.8   3.8
 25 최종 보스     |  78.0%  61.0%  45.5%  65.5%  66.5% |  53.8%  33.9%  24.1%  39.6%  45.4% |  1.03    327    404    1.23x  12.5  12.3

═══ 피의 맹세 (전사 Lv25, 짝: 철벽 의지) ═══
 Lv 상대        | A승률   B승률   C승률   D승률   E승률  | AHP잔   BHP잔   CHP잔   DHP잔   EHP잔  |   A사용    E지불    E회수      E수지    A턴    B턴
 25 골렘상       | 100.0% 100.0% 100.0% 100.0% 100.0% |  79.3%  86.3%  47.8%  86.3%  69.0% |  1.00    383    372    0.97x   9.1   8.1
 25 암살자상      | 100.0% 100.0% 100.0% 100.0% 100.0% |  53.6%  69.7%  53.0%  69.7%  53.0% |  0.95    302    370    1.22x   5.5   3.8
